,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Base is based on NREL Conservative Load Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Generation by Fuel | GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PEAK LOAD,," 1,075.2 "," 1,083.1 "," 1,080.5 "," 1,080.0 "," 1,039.7 "," 1,030.6 "," 1,051.8 "," 1,087.9 "," 1,082.1 "," 1,122.1 "," 1,113.8 "," 1,155.4 "," 1,218.4 "," 1,304.0 "," 1,339.7 "," 1,409.5 "," 1,470.4 "," 1,507.0 "," 1,558.3 "," 1,608.8 "," 1,606.2 "," 1,666.6 "," 1,746.7 "," 1,757.5 "," 1,794.4 "," 1,751.1 "," 1,813.4 "," 1,846.9 "," 1,867.5 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rooftop solar,IGP 2022 data, 668.3 , 752.1 , 810.2 , 855.8 , 901.6 , 944.8 , 988.4 ," 1,025.2 "," 1,062.3 "," 1,096.4 "," 1,130.2 "," 1,154.2 "," 1,177.9 "," 1,199.8 "," 1,222.7 "," 1,238.1 "," 1,254.8 "," 1,270.6 "," 1,287.8 "," 1,297.9 "," 1,310.0 "," 1,321.3 "," 1,334.6 "," 1,340.8 "," 1,349.5 "," 1,357.5 "," 1,368.3 "," 1,371.8 "," 1,378.2 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Capacity (MW) - Reordered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oil  ,," 1,465.4 "," 1,465.4 "," 1,371.8 "," 1,371.8 "," 1,371.8 "," 1,263.7 "," 1,263.7 "," 1,094.5 ", 886.5 , 886.5 , 886.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , - , - , - , - , - , - ,,,,
,,LNG / RNG / H2,, - , - , - , - , - , - , - , 60.0 , 123.9 , 394.9 , 453.8 , 453.8 , 453.8 , 455.4 , 477.8 , 575.0 , 575.0 , 611.5 , 651.8 , 701.0 , 773.6 , 793.0 , 830.3 , 953.1 , 984.2 , 987.9 ," 1,019.0 "," 1,019.0 "," 1,027.2 ",,,,
,,Biodiesel  ,, 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 600.5 , 600.5 , 600.5 , 600.5 , 638.9 , 638.9 ,,,,
,,Solar  - Utility Grid,, 213.0 , 305.5 , 436.5 , 451.5 , 451.5 , 631.5 , 761.5 , 852.5 , 943.0 , 943.0 , 942.0 , 937.0 , 942.2 , 967.8 , 992.7 ," 1,087.7 "," 1,182.7 "," 1,250.1 "," 1,382.6 "," 1,368.0 "," 1,463.0 "," 1,558.0 "," 1,633.0 "," 1,728.0 "," 1,823.0 "," 1,918.0 "," 2,013.0 "," 2,108.0 "," 2,203.0 ",,,,
,,Solar - Distributed,, 668.3 , 752.1 , 810.2 , 855.8 , 901.6 , 944.8 , 988.4 ," 1,025.2 "," 1,062.3 "," 1,096.4 "," 1,130.2 "," 1,154.2 "," 1,177.9 "," 1,199.8 "," 1,222.7 "," 1,238.1 "," 1,254.8 "," 1,270.6 "," 1,287.8 "," 1,297.9 "," 1,310.0 "," 1,321.3 "," 1,334.6 "," 1,340.8 "," 1,349.5 "," 1,357.5 "," 1,368.3 "," 1,371.8 "," 1,378.2 ",,,,
