,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Uses Conservative_nogas scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Generation by Fuel | GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,For graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Non-Grid Demand (DER),,"(1,098.3)","(1,261.7)","(1,445.7)","(1,530.9)","(1,599.3)","(1,700.4)","(1,768.3)","(1,829.2)","(1,893.6)","(1,946.6)","(2,028.6)","(2,066.2)","(2,103.6)","(2,137.5)","(2,192.0)","(2,236.7)","(2,258.1)","(2,284.1)","(2,308.0)","(2,327.8)","(2,367.3)","(2,389.4)","(2,399.0)","(2,421.2)","(2,434.2)","(2,499.1)","(2,520.4)","(2,516.8)","(2,535.8)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grid load,," 7,169.6 "," 7,168.1 "," 7,177.9 "," 7,186.9 "," 7,199.4 "," 7,276.5 "," 7,319.7 "," 7,400.2 "," 7,510.9 "," 7,660.9 "," 7,988.1 "," 8,239.9 "," 8,528.4 "," 8,860.8 "," 9,214.5 "," 9,749.7 "," 10,090.9 "," 10,418.5 "," 10,732.9 "," 10,997.6 "," 11,384.6 "," 11,623.3 "," 11,841.1 "," 12,068.1 "," 12,261.9 "," 12,592.7 "," 12,768.0 "," 12,929.6 "," 13,071.7 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Net load,," 6,071.4 "," 5,906.4 "," 5,732.2 "," 5,655.9 "," 5,600.1 "," 5,576.1 "," 5,551.4 "," 5,571.0 "," 5,617.3 "," 5,714.3 "," 5,959.5 "," 6,173.6 "," 6,424.8 "," 6,723.3 "," 7,022.5 "," 7,513.1 "," 7,832.8 "," 8,134.4 "," 8,424.9 "," 8,669.8 "," 9,017.2 "," 9,233.9 "," 9,442.1 "," 9,646.9 "," 9,827.7 "," 10,093.6 "," 10,247.5 "," 10,412.8 "," 10,535.9 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
