,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reference is based on Reference NREL Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Generation by Fuel | GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SOLAR,, 213.0 , 305.5 , 436.5 , 451.5 , 451.5 , 631.5 , 761.5 , 852.5 , 943.0 , 943.0 , 942.0 , 937.0 , 932.0 , 932.0 , 932.0 , 991.6 , 991.6 ," 1,046.1 "," 1,170.1 "," 1,155.5 "," 1,250.5 "," 1,345.5 "," 1,420.5 "," 1,515.5 "," 1,610.5 "," 1,705.5 "," 1,800.5 "," 1,895.5 "," 1,990.5 ",,,,
,,ROOFTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GEOTHERMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIND,, 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 268.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 ,,,,
,,OFFSHORE_WIND,, - , - , - , - , - , - , - , - , - , 80.0 , 160.0 , 240.0 , 320.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 ,,,,
,,HYDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BATTERY,, - , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 455.3 , 868.3 , 903.3 , 938.3 , 973.3 ," 1,008.3 "," 1,043.3 "," 1,078.3 "," 1,113.3 "," 1,148.3 "," 1,183.3 "," 1,218.3 "," 1,253.3 "," 1,288.3 "," 1,323.3 "," 1,358.3 "," 1,393.3 "," 1,428.3 "," 1,463.3 "," 1,498.3 "," 1,533.3 "," 1,568.3 ",,,,
,,80NAPTHTHA 20BIODIESEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BIOMASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BIODIESEL,, 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 622.5 , 622.5 , 622.5 , 622.5 , 622.5 , 622.5 ,,,,
,,BIOGAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REFUSE,, 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 ,,,,
,,PEAK LOAD,," 1,081.8 "," 1,092.8 "," 1,093.5 "," 1,095.7 "," 1,064.7 "," 1,049.0 "," 1,070.3 "," 1,102.3 "," 1,089.6 "," 1,114.4 "," 1,088.8 "," 1,104.3 "," 1,147.6 "," 1,160.6 "," 1,183.1 "," 1,222.5 "," 1,198.4 "," 1,235.3 "," 1,296.8 "," 1,328.5 "," 1,334.5 "," 1,369.1 "," 1,436.0 "," 1,444.7 "," 1,476.4 "," 1,445.9 "," 1,494.7 "," 1,533.1 "," 1,554.7 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rooftop solar,IGP 2022 data, 668.3 , 752.1 , 810.2 , 855.8 , 901.6 , 944.8 , 988.4 ," 1,025.2 "," 1,062.3 "," 1,096.4 "," 1,130.2 "," 1,154.2 "," 1,177.9 "," 1,199.8 "," 1,222.7 "," 1,238.1 "," 1,254.8 "," 1,270.6 "," 1,287.8 "," 1,297.9 "," 1,310.0 "," 1,321.3 "," 1,334.6 "," 1,340.8 "," 1,349.5 "," 1,357.5 "," 1,368.3 "," 1,371.8 "," 1,378.2 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Capacity (MW) - Reordered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oil  ,," 1,465.4 "," 1,465.4 "," 1,371.8 "," 1,371.8 "," 1,371.8 "," 1,263.7 "," 1,263.7 "," 1,094.5 "," 1,094.5 "," 1,094.5 "," 1,094.5 ", 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , - , - , - , - , - , - ,,,,
,,LNG / RNG / H2,, - , - , - , - , - , - , 65.0 , 65.0 , 65.0 , 265.0 , 314.4 , 345.8 , 345.8 , 345.8 , 345.8 , 409.3 , 409.3 , 409.3 , 409.3 , 409.3 , 554.3 , 554.3 , 570.7 , 576.9 , 576.9 , 588.4 , 611.1 , 611.1 , 663.5 ,,,,
,,Biodiesel  ,, 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 30.0 , 622.5 , 622.5 , 622.5 , 622.5 , 622.5 , 622.5 ,,,,
,,Solar  - Utility Grid,, 213.0 , 305.5 , 436.5 , 451.5 , 451.5 , 631.5 , 761.5 , 852.5 , 943.0 , 943.0 , 942.0 , 937.0 , 932.0 , 932.0 , 932.0 , 991.6 , 991.6 ," 1,046.1 "," 1,170.1 "," 1,155.5 "," 1,250.5 "," 1,345.5 "," 1,420.5 "," 1,515.5 "," 1,610.5 "," 1,705.5 "," 1,800.5 "," 1,895.5 "," 1,990.5 ",,,,
,,Solar - Distributed,, 668.3 , 752.1 , 810.2 , 855.8 , 901.6 , 944.8 , 988.4 ," 1,025.2 "," 1,062.3 "," 1,096.4 "," 1,130.2 "," 1,154.2 "," 1,177.9 "," 1,199.8 "," 1,222.7 "," 1,238.1 "," 1,254.8 "," 1,270.6 "," 1,287.8 "," 1,297.9 "," 1,310.0 "," 1,321.3 "," 1,334.6 "," 1,340.8 "," 1,349.5 "," 1,357.5 "," 1,368.3 "," 1,371.8 "," 1,378.2 ",,,,
,,Onshore Wind  ,, 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 268.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 ,,,,
,,Offshore Wind  ,, - , - , - , - , - , - , - , - , - , 80.0 , 160.0 , 240.0 , 320.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 ,,,,
,,Biomass  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Refuse  ,, 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 ,,,,
,,Hydro ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,
,,Geothermal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Battery,, - , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 455.3 , 868.3 , 903.3 , 938.3 , 973.3 ," 1,008.3 "," 1,043.3 "," 1,078.3 "," 1,113.3 "," 1,148.3 "," 1,183.3 "," 1,218.3 "," 1,253.3 "," 1,288.3 "," 1,323.3 "," 1,358.3 "," 1,393.3 "," 1,428.3 "," 1,463.3 "," 1,498.3 "," 1,533.3 "," 1,568.3 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Firm,," 1,541.9 "," 1,541.9 "," 1,448.3 "," 1,448.3 "," 1,448.3 "," 1,340.2 "," 1,405.2 "," 1,236.0 "," 1,258.0 "," 1,458.0 "," 1,507.4 "," 1,165.8 "," 1,165.8 "," 1,165.8 "," 1,165.8 "," 1,229.3 "," 1,229.3 "," 1,229.3 "," 1,229.3 "," 1,229.3 "," 1,374.3 "," 1,374.3 "," 1,390.7 "," 1,267.9 "," 1,267.9 "," 1,279.4 "," 1,302.1 "," 1,302.1 "," 1,354.5 ",,,,
,,Intermittent,," 1,004.3 "," 1,180.6 "," 1,369.7 "," 1,430.3 "," 1,476.1 "," 1,699.3 "," 1,872.9 "," 2,164.7 "," 2,292.3 "," 2,406.4 "," 2,519.2 "," 2,618.2 "," 2,716.9 "," 2,818.8 "," 2,841.7 "," 2,916.7 "," 2,914.4 "," 3,003.7 "," 3,144.8 "," 3,140.3 "," 3,247.5 "," 3,353.7 "," 3,442.1 "," 3,543.2 "," 3,647.0 "," 3,750.0 "," 3,855.8 "," 3,954.3 "," 4,055.7 ",,,,
,,Storage,, - , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 455.3 , 868.3 , 903.3 , 938.3 , 973.3 ," 1,008.3 "," 1,043.3 "," 1,078.3 "," 1,113.3 "," 1,148.3 "," 1,183.3 "," 1,218.3 "," 1,253.3 "," 1,288.3 "," 1,323.3 "," 1,358.3 "," 1,393.3 "," 1,428.3 "," 1,463.3 "," 1,498.3 "," 1,533.3 "," 1,568.3 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,For graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Non-Grid Demand (DER),,"(1,098.3)","(1,261.7)","(1,445.7)","(1,524.1)","(1,596.7)","(1,700.4)","(1,768.3)","(1,828.9)","(1,893.6)","(1,946.6)","(2,026.6)","(2,069.6)","(2,107.5)","(2,144.0)","(2,177.5)","(2,236.6)","(2,256.7)","(2,285.3)","(2,316.8)","(2,329.1)","(2,366.7)","(2,389.1)","(2,407.3)","(2,421.3)","(2,435.7)","(2,499.3)","(2,520.4)","(2,521.1)","(2,535.1)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grid load,," 7,221.1 "," 7,238.4 "," 7,268.0 "," 7,281.9 "," 7,310.7 "," 7,388.9 "," 7,432.2 "," 7,485.8 "," 7,553.7 "," 7,609.4 "," 7,739.7 "," 7,819.8 "," 7,921.6 "," 8,053.7 "," 8,190.3 "," 8,424.6 "," 8,570.9 "," 8,750.0 "," 8,928.1 "," 9,103.4 "," 9,379.2 "," 9,562.3 "," 9,746.2 "," 9,931.0 "," 10,108.8 "," 10,397.5 "," 10,569.4 "," 10,739.3 "," 10,852.7 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Net load,," 6,122.8 "," 5,976.6 "," 5,822.3 "," 5,757.8 "," 5,714.0 "," 5,688.5 "," 5,663.9 "," 5,656.8 "," 5,660.0 "," 5,662.8 "," 5,713.1 "," 5,750.2 "," 5,814.1 "," 5,909.7 "," 6,012.9 "," 6,188.1 "," 6,314.2 "," 6,464.7 "," 6,611.2 "," 6,774.3 "," 7,012.5 "," 7,173.2 "," 7,338.8 "," 7,509.8 "," 7,673.2 "," 7,898.2 "," 8,049.1 "," 8,218.2 "," 8,317.6 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HSEO 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
