GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050200,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050202,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050204,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050206,0.052643318
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050208,0.9117976
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050210,1.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050212,0.9892055
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050214,0.58714473
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050216,0.9160973
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050218,0.07164854
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050220,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007050222,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092200,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092202,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092204,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092206,0.002913101
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092208,0.87719244
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092210,0.9894676
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092212,0.8673267
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092214,0.9056128
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092216,0.87022346
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092218,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092220,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007092222,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007102700,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007102702,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007102704,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007102706,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007102708,0.8110006
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007102710,0.8623256
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007102712,0.76592404
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007102714,0.29141185
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007102716,0.37336564
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007102718,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007102720,0.0
