scenario,period,tech,energy_gwh,capacity_mw,emissions_tco2
nlv2a_C5_LNG375_lowbrent,2027,Geothermal (EGS),144.83,17.8,0.0
nlv2a_C5_LNG375_lowbrent,2027,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_lowbrent,2027,Onshore wind,290.41,150.0,0.0
nlv2a_C5_LNG375_lowbrent,2027,Oil,4791.35,1361.7,3251575.0
nlv2a_C5_LNG375_lowbrent,2027,Utility solar,1237.55,478.1,0.0
nlv2a_C5_LNG375_lowbrent,2027,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_lowbrent,2030,Battery storage,-61.29,364.9,0.0
nlv2a_C5_LNG375_lowbrent,2030,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C5_LNG375_lowbrent,2030,Geothermal (EGS),754.55,92.5,0.0
nlv2a_C5_LNG375_lowbrent,2030,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_lowbrent,2030,Onshore wind,290.41,150.0,0.0
nlv2a_C5_LNG375_lowbrent,2030,Oil,1340.65,1581.1,591562.0
nlv2a_C5_LNG375_lowbrent,2030,LNG,2657.69,0,1172712.0
nlv2a_C5_LNG375_lowbrent,2030,Utility solar,1237.55,478.1,0.0
nlv2a_C5_LNG375_lowbrent,2030,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_lowbrent,2035,Battery storage,-56.49,347.9,0.0
nlv2a_C5_LNG375_lowbrent,2035,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C5_LNG375_lowbrent,2035,Geothermal (EGS),754.55,92.5,0.0
nlv2a_C5_LNG375_lowbrent,2035,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_lowbrent,2035,Onshore wind,289.37,150.0,0.0
nlv2a_C5_LNG375_lowbrent,2035,Oil,1354.52,1425.1,612804.0
nlv2a_C5_LNG375_lowbrent,2035,LNG,2394.45,0,1083285.0
nlv2a_C5_LNG375_lowbrent,2035,Utility solar,1233.37,478.1,0.0
nlv2a_C5_LNG375_lowbrent,2035,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_lowbrent,2040,Battery storage,-167.92,550.2,0.0
nlv2a_C5_LNG375_lowbrent,2040,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C5_LNG375_lowbrent,2040,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_lowbrent,2040,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_lowbrent,2040,Onshore wind,270.99,150.0,0.0
nlv2a_C5_LNG375_lowbrent,2040,Oil,994.29,1255.8,460839.0
nlv2a_C5_LNG375_lowbrent,2040,LNG,1066.29,0,494213.0
nlv2a_C5_LNG375_lowbrent,2040,Utility solar,3340.74,1473.7,0.0
nlv2a_C5_LNG375_lowbrent,2040,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_lowbrent,2045,Battery storage,-310.16,1088.1,0.0
nlv2a_C5_LNG375_lowbrent,2045,Distributed solar (modeled),0.0,391.0,0.0
nlv2a_C5_LNG375_lowbrent,2045,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_lowbrent,2045,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_lowbrent,2045,Onshore wind,444.38,150.0,0.0
