scenario,day,hour,series,mw
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,16,Wind,15.5
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,16,Utility solar,320.2
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,16,Rooftop solar,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,16,Battery discharge (net),0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,16,Battery charging (net),-25.5
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,16,Curtailed solar & wind,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,16,EV charging,-30.7
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,16,Hydrogen production,-0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,16,Demand,874.2
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,Geothermal,93.1
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,Waste-to-energy,42.8
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,Thermal (oil/LNG),545.5
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,Wind,30.6
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,Utility solar,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,Rooftop solar,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,Battery discharge (net),377.5
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,Battery charging (net),0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,Curtailed solar & wind,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,EV charging,-49.4
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,Hydrogen production,-0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,18,Demand,1040.1
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,Geothermal,93.1
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,Waste-to-energy,42.8
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,Thermal (oil/LNG),545.5
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,Wind,37.5
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,Utility solar,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,Rooftop solar,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,Battery discharge (net),162.6
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,Battery charging (net),0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,Curtailed solar & wind,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,EV charging,-45.8
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,Hydrogen production,-0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,20,Demand,835.6
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,Geothermal,93.1
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,Waste-to-energy,42.8
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,Thermal (oil/LNG),545.5
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,Wind,3.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,Utility solar,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,Rooftop solar,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,Battery discharge (net),29.9
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,Battery charging (net),0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,Curtailed solar & wind,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,EV charging,-11.5
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,Hydrogen production,-0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-11-22,22,Demand,702.8
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,Geothermal,93.1
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,Waste-to-energy,42.8
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,Thermal (oil/LNG),113.1
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,Wind,46.2
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,Utility solar,0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,Rooftop solar,0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,Battery discharge (net),407.4
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,Battery charging (net),0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,Curtailed solar & wind,0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,EV charging,-8.8
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,Hydrogen production,-0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,0,Demand,693.8
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,Geothermal,93.1
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,Waste-to-energy,42.8
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,Thermal (oil/LNG),113.1
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,Wind,42.4
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,Utility solar,0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,Rooftop solar,0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,Battery discharge (net),354.4
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,Battery charging (net),0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,Curtailed solar & wind,0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,EV charging,-6.4
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,Hydrogen production,-0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,2,Demand,639.5
nlv2b_C1_LSFO250_refbrent,2035-08-18,4,Geothermal,93.1
nlv2b_C1_LSFO250_refbrent,2035-08-18,4,Waste-to-energy,42.8
nlv2b_C1_LSFO250_refbrent,2035-08-18,4,Thermal (oil/LNG),113.1
nlv2b_C1_LSFO250_refbrent,2035-08-18,4,Wind,18.4
nlv2b_C1_LSFO250_refbrent,2035-08-18,4,Utility solar,0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,4,Rooftop solar,0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,4,Battery discharge (net),448.5
nlv2b_C1_LSFO250_refbrent,2035-08-18,4,Battery charging (net),0.0
nlv2b_C1_LSFO250_refbrent,2035-08-18,4,Curtailed solar & wind,0.0
