scenario,period,cost_real_musd_yr,demand_gwh_yr,cost_per_mwh
nlv2b_C3_LSFO500_refbrent_adv,2040,1453.83,7080.0,205.34
nlv2b_C3_LSFO500_refbrent_adv,2045,1290.76,7218.2,178.82
nlv2b_C3_LSFO500_refbrent_adv,2050,1113.89,7391.2,150.71
nlv2b_C4_NOTHERMAL_futbrent,2027,1383.16,6776.1,204.12
nlv2b_C4_NOTHERMAL_futbrent,2030,1338.44,6856.2,195.21
nlv2b_C4_NOTHERMAL_futbrent,2035,1305.32,6940.2,188.08
nlv2b_C4_NOTHERMAL_futbrent,2040,1293.42,7080.0,182.69
nlv2b_C4_NOTHERMAL_futbrent,2045,1264.07,7218.2,175.12
nlv2b_C4_NOTHERMAL_futbrent,2050,1130.79,7391.2,152.99
nlv2b_C4_NOTHERMAL_futbrent_adv,2027,1400.99,6776.1,206.76
nlv2b_C4_NOTHERMAL_futbrent_adv,2030,1344.0,6856.2,196.03
nlv2b_C4_NOTHERMAL_futbrent_adv,2035,1274.67,6940.2,183.66
nlv2b_C4_NOTHERMAL_futbrent_adv,2040,1257.38,7080.0,177.6
nlv2b_C4_NOTHERMAL_futbrent_adv,2045,1165.14,7218.2,161.42
nlv2b_C4_NOTHERMAL_futbrent_adv,2050,991.69,7391.2,134.17
nlv2b_C4_NOTHERMAL_highbrent,2027,1540.96,6776.1,227.41
nlv2b_C4_NOTHERMAL_highbrent,2030,1520.91,6856.2,221.83
nlv2b_C4_NOTHERMAL_highbrent,2035,1512.25,6940.2,217.9
nlv2b_C4_NOTHERMAL_highbrent,2040,1519.96,7080.0,214.68
nlv2b_C4_NOTHERMAL_highbrent,2045,1337.27,7218.2,185.26
nlv2b_C4_NOTHERMAL_highbrent,2050,1200.96,7391.2,162.49
nlv2b_C4_NOTHERMAL_highbrent_adv,2027,1555.74,6776.1,229.59
nlv2b_C4_NOTHERMAL_highbrent_adv,2030,1519.4,6856.2,221.61
nlv2b_C4_NOTHERMAL_highbrent_adv,2035,1495.03,6940.2,215.42
nlv2b_C4_NOTHERMAL_highbrent_adv,2040,1487.22,7080.0,210.06
nlv2b_C4_NOTHERMAL_highbrent_adv,2045,1225.42,7218.2,169.77
nlv2b_C4_NOTHERMAL_highbrent_adv,2050,1068.25,7391.2,144.53
nlv2b_C4_NOTHERMAL_lowbrent,2027,1219.82,6776.1,180.02
nlv2b_C4_NOTHERMAL_lowbrent,2030,1054.76,6856.2,153.84
nlv2b_C4_NOTHERMAL_lowbrent,2035,1015.43,6940.2,146.31
nlv2b_C4_NOTHERMAL_lowbrent,2040,1142.48,7080.0,161.37
nlv2b_C4_NOTHERMAL_lowbrent,2045,1271.66,7218.2,176.17
nlv2b_C4_NOTHERMAL_lowbrent,2050,1134.31,7391.2,153.47
nlv2b_C4_NOTHERMAL_lowbrent_adv,2027,1212.09,6776.1,178.88
nlv2b_C4_NOTHERMAL_lowbrent_adv,2030,1036.45,6856.2,151.17
nlv2b_C4_NOTHERMAL_lowbrent_adv,2035,983.25,6940.2,141.67
nlv2b_C4_NOTHERMAL_lowbrent_adv,2040,1071.6,7080.0,151.36
nlv2b_C4_NOTHERMAL_lowbrent_adv,2045,1132.44,7218.2,156.89
nlv2b_C4_NOTHERMAL_lowbrent_adv,2050,996.05,7391.2,134.76
nlv2b_C4_NOTHERMAL_refbrent,2027,1464.95,6776.1,216.19
nlv2b_C4_NOTHERMAL_refbrent,2030,1468.44,6856.2,214.18
nlv2b_C4_NOTHERMAL_refbrent,2035,1392.31,6940.2,200.61
nlv2b_C4_NOTHERMAL_refbrent,2040,1404.14,7080.0,198.32
nlv2b_C4_NOTHERMAL_refbrent,2045,1283.72,7218.2,177.84
nlv2b_C4_NOTHERMAL_refbrent,2050,1150.39,7391.2,155.64
nlv2b_C4_NOTHERMAL_refbrent_adv,2027,1503.48,6776.1,221.88
nlv2b_C4_NOTHERMAL_refbrent_adv,2030,1458.12,6856.2,212.67
nlv2b_C4_NOTHERMAL_refbrent_adv,2035,1378.2,6940.2,198.58
nlv2b_C4_NOTHERMAL_refbrent_adv,2040,1367.53,7080.0,193.15
nlv2b_C4_NOTHERMAL_refbrent_adv,2045,1204.62,7218.2,166.89
nlv2b_C4_NOTHERMAL_refbrent_adv,2050,1019.57,7391.2,137.94
nlv2b_C5_LNG375_futbrent,2027,1404.2,6776.1,207.23
nlv2b_C5_LNG375_futbrent,2030,1308.31,6856.2,190.82
nlv2b_C5_LNG375_futbrent,2035,1297.77,6940.2,186.99
nlv2b_C5_LNG375_futbrent,2040,1373.0,7080.0,193.93
nlv2b_C5_LNG375_futbrent,2045,1276.46,7218.2,176.84
nlv2b_C5_LNG375_futbrent,2050,1139.66,7391.2,154.19
nlv2b_C5_LNG375_futbrent_adv,2027,1401.63,6776.1,206.85
nlv2b_C5_LNG375_futbrent_adv,2030,1302.21,6856.2,189.93
nlv2b_C5_LNG375_futbrent_adv,2035,1281.7,6940.2,184.68
nlv2b_C5_LNG375_futbrent_adv,2040,1317.86,7080.0,186.14
nlv2b_C5_LNG375_futbrent_adv,2045,1148.46,7218.2,159.11
nlv2b_C5_LNG375_futbrent_adv,2050,1008.21,7391.2,136.41
nlv2b_C5_LNG375_futbrent_j120,2027,1403.56,6776.1,207.13
nlv2b_C5_LNG375_futbrent_j120,2030,1339.73,6856.2,195.4
nlv2b_C5_LNG375_futbrent_j120,2035,1327.77,6940.2,191.32
nlv2b_C5_LNG375_futbrent_j120,2040,1404.77,7080.0,198.41
nlv2b_C5_LNG375_futbrent_j120,2045,1277.39,7218.2,176.97
nlv2b_C5_LNG375_futbrent_j120,2050,1140.09,7391.2,154.25
nlv2b_C5_LNG375_futbrent_j120_adv,2027,1401.51,6776.1,206.83
nlv2b_C5_LNG375_futbrent_j120_adv,2030,1333.83,6856.2,194.54
nlv2b_C5_LNG375_futbrent_j120_adv,2035,1313.57,6940.2,189.27
nlv2b_C5_LNG375_futbrent_j120_adv,2040,1350.48,7080.0,190.75
nlv2b_C5_LNG375_futbrent_j120_adv,2045,1148.48,7218.2,159.11
nlv2b_C5_LNG375_futbrent_j120_adv,2050,1006.77,7391.2,136.21
nlv2b_C5_LNG375_highbrent,2027,1540.33,6776.1,227.32
nlv2b_C5_LNG375_highbrent,2030,1580.83,6856.2,230.57
