GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011206,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011208,0.47537926
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011210,0.8354656
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011212,0.801756
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011214,0.80249745
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011216,0.6930421
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011218,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011900,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011902,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011904,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011906,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011908,0.51318306
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011910,0.54074925
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011912,0.582301
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011914,0.42670164
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011916,0.15644857
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011918,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011920,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507011922,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021206,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021208,0.64238805
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021210,0.9587104
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021212,0.93350005
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021214,0.9403035
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021216,0.77151734
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021218,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507021222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050206,0.05028084
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050208,0.80838835
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050210,1.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050212,0.9533493
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050214,0.55183476
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050216,0.86525804
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050218,0.06599765
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507050222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092206,0.0030348063
