GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2013,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2014,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2015,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2016,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2017,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2018,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2019,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2020,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_11,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2013,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2014,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2015,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2016,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2017,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2018,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2019,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2020,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_13,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2013,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2014,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2015,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2016,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2017,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2018,7582373.268175,.,0.000000
