scenario,matched_gap,old_npv,new_npv,delta_usd,delta_pct
nlv2s_lc_C3_LSFO500_lowbrent,0.001,22661506872.83,22967190608.94,305683736.11,1.3489
nlv2s_lc_C3_LSFO500_lowbrent_adv,0.001,21561517166.76,21824902321.32,263385154.56,1.2216
nlv2s_lc_C3_LSFO500_refbrent,0.001,26862907322.45,27269814411.19,406907088.73,1.5148
nlv2s_lc_C3_LSFO500_refbrent_adv,0.001,26258471815.48,25918306743.86,-340165071.62,-1.2954
nlv2s_lc_C4_NOTHERMAL_futbrent,0.001,24091083618.10,24493800128.08,402716509.98,1.6716
nlv2s_lc_C4_NOTHERMAL_futbrent_adv,0.001,23429392254.19,23165020185.23,-264372068.97,-1.1284
nlv2s_lc_C4_NOTHERMAL_highbrent,0.001,27003307258.82,27470351109.52,467043850.71,1.7296
nlv2s_lc_C4_NOTHERMAL_highbrent_adv,0.001,26383526539.29,25770275040.60,-613251498.69,-2.3244
nlv2s_lc_C4_NOTHERMAL_lowbrent,0.001,21079141030.14,21401450009.36,322308979.21,1.5290
nlv2s_lc_C4_NOTHERMAL_lowbrent_adv,0.001,20027008532.78,20288866078.84,261857546.06,1.3075
nlv2s_lc_C4_NOTHERMAL_refbrent,0.001,25565951524.87,26007371665.61,441420140.75,1.7266
nlv2s_lc_C4_NOTHERMAL_refbrent_adv,0.001,25045799124.71,24508346583.32,-537452541.38,-2.1459
nlv2s_lc_C5_LNG375_futbrent,0.001,24374310392.86,24740154533.63,365844140.77,1.5009
nlv2s_lc_C5_LNG375_futbrent_adv,0.001,23533789531.62,23590031132.18,56241600.55,0.2390
nlv2s_lc_C5_LNG375_futbrent_j120,0.001,24723822616.84,25084301631.46,360479014.62,1.4580
nlv2s_lc_C5_LNG375_futbrent_j120_adv,0.001,23877608655.11,23935907092.95,58298437.84,0.2442
nlv2s_lc_C5_LNG375_highbrent,0.001,27750012421.75,28181851243.36,431838821.61,1.5562
nlv2s_lc_C5_LNG375_highbrent_adv,0.001,27289075919.80,26778658905.07,-510417014.73,-1.8704
nlv2s_lc_C5_LNG375_highbrent_j120,0.001,28094995811.17,28527751455.56,432755644.39,1.5403
nlv2s_lc_C5_LNG375_highbrent_j120_adv,0.001,27628231121.26,27122619074.17,-505612047.09,-1.8301
nlv2s_lc_C5_LNG375_lowbrent,0.001,22169077748.25,22472496230.22,303418481.98,1.3687
nlv2s_lc_C5_LNG375_lowbrent_adv,0.001,21148076961.68,21382878614.93,234801653.25,1.1103
nlv2s_lc_C5_LNG375_lowbrent_j120,0.001,22517917225.74,22816899338.29,298982112.55,1.3278
nlv2s_lc_C5_LNG375_lowbrent_j120_adv,0.001,21493851435.03,21728637975.44,234786540.41,1.0923
nlv2s_lc_C5_LNG375_refbrent,0.001,25884437463.87,26283910655.43,399473191.56,1.5433
nlv2s_lc_C5_LNG375_refbrent_adv,0.001,25165599533.45,25052835815.25,-112763718.20,-0.4481
nlv2s_lc_C5_LNG375_refbrent_j120,0.001,26242468998.88,26630541123.47,388072124.58,1.4788
nlv2s_lc_C5_LNG375_refbrent_j120_adv,0.001,25512358986.06,25400320553.83,-112038432.23,-0.4392
nlv2s_lc_C6_STATUSQUO_futbrent,0.001,26109042235.57,26443615362.07,334573126.49,1.2814
nlv2s_lc_C6_STATUSQUO_futbrent_adv,0.001,25130918816.51,25359565364.11,228646547.60,0.9098
nlv2s_lc_C6_STATUSQUO_futbrent_j120,0.001,26547389740.08,26880703772.34,333314032.27,1.2555
nlv2s_lc_C6_STATUSQUO_futbrent_j120_adv,0.001,25554461767.96,25786496212.49,232034444.53,0.9080
nlv2s_lc_C6_STATUSQUO_highbrent,0.001,29572506154.22,29980351233.21,407845078.99,1.3791
nlv2s_lc_C6_STATUSQUO_highbrent_adv,0.001,29045526166.08,28620751172.83,-424774993.25,-1.4624
nlv2s_lc_C6_STATUSQUO_highbrent_j120,0.001,29998046501.55,30410716057.19,412669555.64,1.3757
nlv2s_lc_C6_STATUSQUO_highbrent_j120_adv,0.001,29471433974.02,29045625777.51,-425808196.51,-1.4448
nlv2s_lc_C6_STATUSQUO_lowbrent,0.001,24038662741.68,24329609611.18,290946869.50,1.2103
nlv2s_lc_C6_STATUSQUO_lowbrent_adv,0.001,22959262603.15,23210378082.96,251115479.80,1.0937
nlv2s_lc_C6_STATUSQUO_lowbrent_j120,0.001,24467547962.54,24758527714.13,290979751.59,1.1892
nlv2s_lc_C6_STATUSQUO_lowbrent_j120_adv,0.001,23385950664.00,23635184898.29,249234234.29,1.0657
nlv2s_lc_C6_STATUSQUO_refbrent,0.001,27687880350.32,28059818297.17,371937946.85,1.3433
nlv2s_lc_C6_STATUSQUO_refbrent_adv,0.001,26785054060.98,26868612939.09,83558878.11,0.3120
nlv2s_lc_C6_STATUSQUO_refbrent_j120,0.001,28112305627.48,28486469714.55,374164087.07,1.3310
nlv2s_lc_C6_STATUSQUO_refbrent_j120_adv,0.001,27216606320.03,27294225547.40,77619227.37,0.2852
nlv2s_lngconv_heco_futbrent,0.001,22553933206.25,22923571682.12,369638475.87,1.6389
nlv2s_lngconv_heco_highbrent,0.001,26170950695.57,26627550211.68,456599516.11,1.7447
nlv2s_lngconv_heco_lowbrent,0.001,20320116644.13,20633253887.31,313137243.18,1.5410
nlv2s_lngconv_heco_refbrent,0.001,24181060204.40,24589705769.02,408645564.62,1.6899
nlv2s_lngconv_noplant_refbrent,0.001,24784347903.67,25232705475.17,448357571.50,1.8090
nlv2s_lngconv_opt_refbrent,0.001,24785189444.51,25233013025.91,447823581.40,1.8068
nlv2s_lngconv_wjera_refbrent,0.001,25366142200.67,25742309264.94,376167064.27,1.4829
nlv2s_norps_LNG500_refbrent,0.001,25106365668.49,25442867728.95,336502060.46,1.3403
nlv2s_norps_LNG500_refbrent_j120,0.001,25620218608.56,25970003616.29,349785007.72,1.3653
nlv2s_norps_LNGOPT_refbrent,0.001,24914705433.54,25287204150.28,372498716.75,1.4951
nlv2s_norps_NOTHERMAL_refbrent,0.001,24944117544.41,25390675704.78,446558160.37,1.7902
nlv2s_plan_hseo_lng_hybrid_refbrent,0.0025,28067403900.17,28562238820.56,494834920.40,1.7630
nlv2s_plan_hseo_lng_pv15_hybrid_refbrent,0.0025,29129070620.98,29648788935.50,519718314.53,1.7842
nlv2s_plan_hseo_lng_pv17_hybrid_refbrent,0.001,29476317577.89,30013885924.72,537568346.83,1.8237
nlv2s_plan_hseo_oil_hybrid_refbrent,0.0025,28799583519.74,29338250417.22,538666897.48,1.8704
nlv2s_plan_hseo_oil_pv15_hybrid_refbrent,0.0025,29894769179.40,30485276693.43,590507514.03,1.9753
nlv2s_plan_hseo_oil_pv17_hybrid_refbrent,0.0025,30318954926.19,30902843097.43,583888171.24,1.9258
nlv2s_wb_C5_LNG375_refbrent,0.001,25495356409.87,25888609577.32,393253167.45,1.5425
nlv2s_wb_C5_LNG375_refbrent_adv,0.001,24757047835.67,24617682279.88,-139365555.78,-0.5629
nlv2s_wb_C5_LNG375_refbrent_j120,0.001,25839303063.63,26236041554.26,396738490.63,1.5354
nlv2s_wb_C5_LNG375_refbrent_j120_adv,0.001,25099593631.81,24967883675.66,-131709956.15,-0.5247
nlv2s_wb_C6_LNG500_futbrent,0.001,24235217983.75,24580900981.85,345682998.11,1.4264
nlv2s_wb_C6_LNG500_futbrent_adv,0.001,23241588108.50,23442493107.18,200904998.67,0.8644
nlv2s_wb_C6_LNG500_futbrent_j120,0.001,24656531324.15,25006896014.21,350364690.06,1.4210
nlv2s_wb_C6_LNG500_futbrent_j120_adv,0.001,23663955668.28,23869959852.08,206004183.80,0.8705
nlv2s_wb_C6_LNG500_highbrent,0.001,27683924800.61,28109761321.73,425836521.12,1.5382
nlv2s_wb_C6_LNG500_highbrent_adv,0.001,27147813287.09,26706194982.62,-441618304.47,-1.6267
nlv2s_wb_C6_LNG500_highbrent_j120,0.001,28114408244.40,28532834644.85,418426400.45,1.4883
nlv2s_wb_C6_LNG500_highbrent_j120_adv,0.001,27569790216.41,27133457596.74,-436332619.67,-1.5826
nlv2s_wb_C6_LNG500_lowbrent,0.001,22132400043.44,22435982143.97,303582100.53,1.3717
nlv2s_wb_C6_LNG500_lowbrent_adv,0.001,21044726721.93,21294091179.28,249364457.35,1.1849
nlv2s_wb_C6_LNG500_lowbrent_j120,0.001,22563724297.26,22858788348.52,295064051.26,1.3077
nlv2s_wb_C6_LNG500_lowbrent_j120_adv,0.001,21468467688.86,21723051779.82,254584090.95,1.1859
nlv2s_wb_C6_LNG500_refbrent,0.001,25815348800.36,26191332161.84,375983361.48,1.4564
nlv2s_wb_C6_LNG500_refbrent_adv,0.001,24912130419.42,24948446999.58,36316580.16,0.1458
nlv2s_wb_C6_LNG500_refbrent_j120,0.001,26242472048.76,26610886217.67,368414168.90,1.4039
nlv2s_wb_C6_LNG500_refbrent_j120_adv,0.001,25337720780.04,25375794217.20,38073437.17,0.1503
nlv2s_wr_C1_LSFO250_futbrent,0.001,25657165711.85,26044262399.45,387096687.60,1.5087
nlv2s_wr_C1_LSFO250_futbrent_adv,0.001,24798526541.78,24735464468.69,-63062073.09,-0.2543
nlv2s_wr_C1_LSFO250_highbrent,0.001,28736956666.46,29203913407.22,466956740.76,1.6249
nlv2s_wr_C1_LSFO250_highbrent_adv,0.001,28174311281.85,27592559394.01,-581751887.84,-2.0648
nlv2s_wr_C1_LSFO250_lowbrent,0.001,22802582001.85,23122225904.18,319643902.33,1.4018
nlv2s_wr_C1_LSFO250_lowbrent_adv,0.001,21704818673.66,21971038531.05,266219857.39,1.2265
nlv2s_wr_C1_LSFO250_refbrent,0.001,27076795610.51,27510595423.06,433799812.56,1.6021
nlv2s_wr_C1_LSFO250_refbrent_adv,0.001,26548507808.74,26115640860.75,-432866948.00,-1.6305
nlv2s_wr_C4_NOTHERMAL_futbrent,0.001,25080169712.02,25487409039.24,407239327.22,1.6238
nlv2s_wr_C4_NOTHERMAL_futbrent_adv,0.001,24356551592.05,24137864186.41,-218687405.64,-0.8979
nlv2s_wr_C4_NOTHERMAL_highbrent,0.001,28118005234.54,28595194476.11,477189241.57,1.6971
