GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_OnshoreWind_OnWind_103,2012,6176801.346666042,.,64908.21479671662
Oahu_OnshoreWind_OnWind_103,2027,2320698.9262215705,.,34795.66133589947
Oahu_OnshoreWind_OnWind_103,2030,2171571.8984462833,.,33433.553596771744
Oahu_OnshoreWind_OnWind_103,2035,2058576.6073042185,.,32288.144816141586
Oahu_OnshoreWind_OnWind_103,2040,1945581.3161621534,.,31142.736035511432
Oahu_OnshoreWind_OnWind_103,2045,1832586.025020105,.,29997.327254881275
Oahu_OnshoreWind_OnWind_103,2050,1719590.7338780432,.,28851.91847425112
Oahu_OnshoreWind_OnWind_104,2027,2320698.9262215705,.,34795.66133589947
Oahu_OnshoreWind_OnWind_104,2030,2171571.8984462833,.,33433.553596771744
Oahu_OnshoreWind_OnWind_104,2035,2058576.6073042185,.,32288.144816141586
Oahu_OnshoreWind_OnWind_104,2040,1945581.3161621534,.,31142.736035511432
Oahu_OnshoreWind_OnWind_104,2045,1832586.025020105,.,29997.327254881275
Oahu_OnshoreWind_OnWind_104,2050,1719590.7338780432,.,28851.91847425112
Oahu_OnshoreWind_OnWind_105,2027,2320698.9262215705,.,34795.66133589947
Oahu_OnshoreWind_OnWind_105,2030,2171571.8984462833,.,33433.553596771744
Oahu_OnshoreWind_OnWind_105,2035,2058576.6073042185,.,32288.144816141586
Oahu_OnshoreWind_OnWind_105,2040,1945581.3161621534,.,31142.736035511432
Oahu_OnshoreWind_OnWind_105,2045,1832586.025020105,.,29997.327254881275
Oahu_OnshoreWind_OnWind_105,2050,1719590.7338780432,.,28851.91847425112
Oahu_OnshoreWind_OnWind_106,2027,2320698.9262215705,.,34795.66133589947
Oahu_OnshoreWind_OnWind_106,2030,2171571.8984462833,.,33433.553596771744
Oahu_OnshoreWind_OnWind_106,2035,2058576.6073042185,.,32288.144816141586
Oahu_OnshoreWind_OnWind_106,2040,1945581.3161621534,.,31142.736035511432
Oahu_OnshoreWind_OnWind_106,2045,1832586.025020105,.,29997.327254881275
Oahu_OnshoreWind_OnWind_106,2050,1719590.7338780432,.,28851.91847425112
Oahu_OnshoreWind_OnWind_107,2027,2320698.9262215705,.,34795.66133589947
Oahu_OnshoreWind_OnWind_107,2030,2171571.8984462833,.,33433.553596771744
Oahu_OnshoreWind_OnWind_107,2035,2058576.6073042185,.,32288.144816141586
Oahu_OnshoreWind_OnWind_107,2040,1945581.3161621534,.,31142.736035511432
Oahu_OnshoreWind_OnWind_107,2045,1832586.025020105,.,29997.327254881275
Oahu_OnshoreWind_OnWind_107,2050,1719590.7338780432,.,28851.91847425112
Oahu_OnshoreWind_OnWind_201,2027,2320698.9262215705,.,34795.66133589947
Oahu_OnshoreWind_OnWind_201,2030,2171571.8984462833,.,33433.553596771744
Oahu_OnshoreWind_OnWind_201,2035,2058576.6073042185,.,32288.144816141586
Oahu_OnshoreWind_OnWind_201,2040,1945581.3161621534,.,31142.736035511432
Oahu_OnshoreWind_OnWind_201,2045,1832586.025020105,.,29997.327254881275
Oahu_OnshoreWind_OnWind_201,2050,1719590.7338780432,.,28851.91847425112
Oahu_OnshoreWind_OnWind_202,2027,2320698.9262215705,.,34795.66133589947
Oahu_OnshoreWind_OnWind_202,2030,2171571.8984462833,.,33433.553596771744
Oahu_OnshoreWind_OnWind_202,2035,2058576.6073042185,.,32288.144816141586
Oahu_OnshoreWind_OnWind_202,2040,1945581.3161621534,.,31142.736035511432
Oahu_OnshoreWind_OnWind_202,2045,1832586.025020105,.,29997.327254881275
Oahu_OnshoreWind_OnWind_202,2050,1719590.7338780432,.,28851.91847425112
Oahu_OnshoreWind_OnWind_203,2027,2320698.9262215705,.,34795.66133589947
Oahu_OnshoreWind_OnWind_203,2030,2171571.8984462833,.,33433.553596771744
Oahu_OnshoreWind_OnWind_203,2035,2058576.6073042185,.,32288.144816141586
Oahu_OnshoreWind_OnWind_203,2040,1945581.3161621534,.,31142.736035511432
Oahu_OnshoreWind_OnWind_203,2045,1832586.025020105,.,29997.327254881275
Oahu_OnshoreWind_OnWind_203,2050,1719590.7338780432,.,28851.91847425112
Oahu_OnshoreWind_OnWind_204,2027,2320698.9262215705,.,34795.66133589947
Oahu_OnshoreWind_OnWind_204,2030,2171571.8984462833,.,33433.553596771744
Oahu_OnshoreWind_OnWind_204,2035,2058576.6073042185,.,32288.144816141586
