timepoint_id,charge_mw,discharge_mw
4507021208,0.0,0.0
4507021210,141.296296,0.0
4507021212,141.296296,0.0
4507021214,141.296296,0.0
4507021216,0.0,0.0
4507021218,0.0,127.166667
4507021220,0.0,127.166667
4507021222,0.0,127.166667
4508022000,0.0,0.0
4508022002,0.0,0.0
4508022004,0.0,0.0
4508022006,0.0,0.0
4508022008,0.0,0.0
4508022010,141.296296,0.0
4508022012,141.296296,0.0
4508022014,141.296296,0.0
4508022016,0.0,0.0
4508022018,0.0,127.166667
4508022020,0.0,127.166667
4508022022,0.0,127.166667
4508041000,0.0,0.0
4508041002,0.0,0.0
4508041004,0.0,0.0
4508041006,0.0,0.0
4508041008,0.0,0.0
4508041010,141.296296,0.0
4508041012,141.296296,0.0
4508041014,141.296296,0.0
4508041016,0.0,0.0
4508041018,0.0,127.166667
4508041020,0.0,127.166667
4508041022,0.0,127.166667
4507050200,0.0,0.0
4507050202,0.0,0.0
4507050204,0.0,0.0
4507050206,0.0,0.0
4507050208,0.0,0.0
4507050210,141.296296,0.0
4507050212,141.296296,0.0
4507050214,141.296296,0.0
4507050216,0.0,0.0
4507050218,0.0,127.166667
4507050220,0.0,127.166667
4507050222,0.0,127.166667
4508061700,0.0,0.0
4508061702,0.0,0.0
4508061704,0.0,0.0
4508061706,0.0,0.0
4508061708,0.0,0.0
4508061710,141.296296,0.0
4508061712,141.296296,0.0
4508061714,141.296296,0.0
4508061716,0.0,0.0
4508061718,0.0,127.166667
4508061720,0.0,127.166667
4508061722,0.0,127.166667
4508081800,0.0,0.0
4508081802,0.0,0.0
4508081804,0.0,0.0
4508081806,0.0,0.0
4508081808,0.0,0.0
4508081810,141.296296,0.0
4508081812,141.296296,0.0
4508081814,141.296296,0.0
4508081816,0.0,0.0
4508081818,0.0,127.166667
4508081820,0.0,127.166667
4508081822,0.0,127.166667
4508091000,0.0,0.0
4508091002,0.0,0.0
4508091004,0.0,0.0
4508091006,0.0,0.0
4508091008,0.0,0.0
4508091010,141.296296,0.0
4508091012,141.296296,0.0
4508091014,141.296296,0.0
4508091016,0.0,0.0
4508091018,0.0,127.166667
4508091020,0.0,127.166667
4508091022,0.0,127.166667
4507092200,0.0,0.0
4507092202,0.0,0.0
4507092204,0.0,0.0
4507092206,0.0,0.0
4507092208,0.0,0.0
4507092210,141.296296,0.0
4507092212,141.296296,0.0
4507092214,141.296296,0.0
4507092216,0.0,0.0
4507092218,0.0,127.166667
4507092220,0.0,127.166667
4507092222,0.0,127.166667
4507102700,0.0,0.0
4507102702,0.0,0.0
4507102704,0.0,0.0
4507102706,0.0,0.0
4507102708,0.0,0.0
4507102710,141.296296,0.0
4507102712,141.296296,0.0
4507102714,141.296296,0.0
4507102716,0.0,0.0
4507102718,0.0,127.166667
