timepoint_id,charge_mw,discharge_mw
3507021204,0.0,0.0
3507021206,0.0,0.0
3507021208,0.0,0.0
3507021210,218.903973,0.0
3507021212,218.903973,0.0
3507021214,218.903973,0.0
3507021216,0.0,0.0
3507021218,0.0,197.013576
3507021220,0.0,197.013576
3507021222,0.0,197.013576
3508022000,0.0,0.0
3508022002,0.0,0.0
3508022004,0.0,0.0
3508022006,0.0,0.0
3508022008,0.0,0.0
3508022010,213.642607,0.0
3508022012,213.642607,0.0
3508022014,213.642607,0.0
3508022016,0.0,0.0
3508022018,0.0,192.278346
3508022020,0.0,192.278346
3508022022,0.0,192.278346
3508041000,0.0,0.0
3508041002,0.0,0.0
3508041004,0.0,0.0
3508041006,0.0,0.0
3508041008,0.0,0.0
3508041010,203.856226,0.0
3508041012,203.856226,0.0
3508041014,203.856226,0.0
3508041016,0.0,0.0
3508041018,0.0,183.470603
3508041020,0.0,183.470603
3508041022,0.0,183.470603
3507050200,0.0,0.0
3507050202,0.0,0.0
3507050204,0.0,0.0
3507050206,0.0,0.0
3507050208,0.0,0.0
3507050210,203.133775,0.0
3507050212,203.133775,0.0
3507050214,203.133775,0.0
3507050216,0.0,0.0
3507050218,0.0,182.820398
3507050220,0.0,182.820398
3507050222,0.0,182.820398
3508061700,0.0,0.0
3508061702,0.0,0.0
3508061704,0.0,0.0
3508061706,0.0,0.0
3508061708,0.0,0.0
3508061710,198.162611,0.0
3508061712,198.162611,0.0
3508061714,198.162611,0.0
3508061716,0.0,0.0
3508061718,0.0,178.34635
3508061720,0.0,178.34635
3508061722,0.0,178.34635
3508081800,0.0,0.0
3508081802,0.0,0.0
3508081804,0.0,0.0
3508081806,0.0,0.0
3508081808,0.0,0.0
3508081810,191.887066,0.0
3508081812,191.887066,0.0
3508081814,191.887066,0.0
3508081816,0.0,0.0
3508081818,0.0,172.698359
3508081820,0.0,172.698359
3508081822,0.0,172.698359
3508091000,0.0,0.0
3508091002,0.0,0.0
3508091004,0.0,0.0
3508091006,0.0,0.0
3508091008,0.0,0.0
3508091010,237.832598,0.0
3508091012,237.832598,0.0
3508091014,237.832598,0.0
3508091016,0.0,0.0
3508091018,0.0,214.049338
3508091020,0.0,214.049338
3508091022,0.0,214.049338
3507092200,0.0,0.0
3507092202,0.0,0.0
3507092204,0.0,0.0
3507092206,0.0,0.0
3507092208,0.0,0.0
3507092210,215.90502,0.0
3507092212,215.90502,0.0
3507092214,215.90502,0.0
3507092216,0.0,0.0
3507092218,0.0,194.314518
3507092220,0.0,194.314518
3507092222,0.0,194.314518
3507102700,0.0,0.0
3507102702,0.0,0.0
3507102704,0.0,0.0
3507102706,0.0,0.0
3507102708,0.0,0.0
3507102710,167.767121,0.0
3507102712,167.767121,0.0
3507102714,167.767121,0.0
3507102716,0.0,0.0
3507102718,0.0,150.990409
3507102720,0.0,150.990409
3507102722,0.0,150.990409
3508112200,0.0,0.0
3508112202,0.0,0.0
3508112204,0.0,0.0
3508112206,0.0,0.0
3508112208,0.0,0.0
3508112210,159.133568,0.0
3508112212,159.133568,0.0
3508112214,159.133568,0.0
3508112216,0.0,0.0
3508112218,0.0,143.220211
3508112220,0.0,143.220211
3508112222,0.0,143.220211
3507121500,0.0,0.0
3507121502,0.0,0.0
3507121504,0.0,0.0
3507121506,0.0,0.0
3507121508,0.0,0.0
3507121510,154.519814,0.0
3507121512,154.519814,0.0
3507121514,154.519814,0.0
3507121516,0.0,0.0
3507121518,0.0,139.067833
3507121520,0.0,139.067833
3507121522,0.0,139.067833
4007011200,0.0,0.0
4007011202,0.0,0.0
4007011204,0.0,0.0
4007011206,0.0,0.0
4007011208,0.0,0.0
4007011210,230.985008,0.0
4007011212,230.985008,0.0
4007011214,230.985008,0.0
4007011216,0.0,0.0
4007011218,0.0,207.886507
4007011220,0.0,207.886507
4007011222,0.0,207.886507
4007011900,0.0,0.0
4007011902,0.0,0.0
4007011904,0.0,0.0
4007011906,0.0,0.0
4007011908,0.0,0.0
4007011910,251.334997,0.0
4007011912,251.334997,0.0
4007011914,251.334997,0.0
4007011916,0.0,0.0
4007011918,0.0,226.201497
4007011920,0.0,226.201497
4007011922,0.0,226.201497
4007021200,0.0,0.0
4007021202,0.0,0.0
4007021204,0.0,0.0
4007021206,0.0,0.0
4007021208,0.0,0.0
4007021210,296.490191,0.0
4007021212,296.490191,0.0
4007021214,296.490191,0.0
4007021216,0.0,0.0
4007021218,0.0,266.841172
4007021220,0.0,266.841172
4007021222,0.0,266.841172
4008022000,0.0,0.0
4008022002,0.0,0.0
4008022004,0.0,0.0
4008022006,0.0,0.0
4008022008,0.0,0.0
4008022010,289.364037,0.0
