date,load_day,pv_mw,batt_mwh,year,quarter,ghi_midday,temp_day,season,t_years,lowsun,lowsun_x_pv,yearF,era
2018-06-02,697.17099609375,488.2644986878943,45.08146851334713,2018,2,869.0282051282051,25.480840455840454,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-03,677.6509948730469,488.26898085214,45.083206117711995,2018,2,856.6991452991454,25.830626780626783,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-04,857.8299987792968,488.4246951395612,45.11274539191465,2018,2,510.2059829059829,25.592539173789163,2,-0.5010266940450947,1,488.4246951395612,2018,2017-20
2018-06-05,781.1900146484375,488.4919276032468,45.13880945738758,2018,2,761.3461538461539,25.070548433048433,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-06,763.0730163574219,488.54571357419525,45.15966070976592,2018,2,785.5290598290597,24.930288461538456,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-07,786.6810119628906,488.6347761285201,45.17877435777941,2018,2,650.6837606837607,25.433440170940177,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-08,809.7379760742188,488.7340430149041,45.201363214522615,2018,2,828.1444444444445,26.05366809116809,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-09,799.172998046875,488.7385251791498,45.20310081888748,2018,2,718.3239316239317,26.069266381766383,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-10,722.9779968261719,488.7385251791498,45.20310081888748,2018,2,715.4401709401709,25.95436253561253,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-11,770.67099609375,488.77438249311547,45.21700165380638,2018,2,797.2829059829061,25.87824074074074,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-12,799.9659851074218,488.85954361378384,45.25001613673876,2018,2,856.4401709401709,25.832763532763533,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-13,825.618994140625,488.9043652562409,45.26739218038738,2018,2,800.2529914529914,26.05491452991453,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-14,827.3710205078125,488.9796168694507,45.29171864149545,2018,2,824.9905982905982,26.224127492877482,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-15,808.3289978027344,489.08270664710193,45.33168354188728,2018,2,870.6119658119658,26.354629629629628,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-16,773.0390075683594,489.08270664710193,45.33168354188728,2018,2,776.8393162393162,26.523433048433052,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-17,706.0940185546875,489.08270664710193,45.33168354188728,2018,2,800.1094017094017,26.29496082621083,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-18,792.9879943847657,489.1678677677703,45.36469802481966,2018,2,929.2982905982906,26.206143162393165,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-19,814.4179870605469,489.27095754542154,45.40466292521149,2018,2,917.6059829059828,26.5139423076923,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-20,821.5650024414062,489.29785053089574,45.415088551400665,2018,2,938.1042735042735,26.79070512820513,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-21,822.5570007324219,489.3561186660899,45.43767740814387,2018,2,911.8811965811965,26.78089387464387,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-22,843.0429992675781,489.3785294873184,45.44636542996818,2018,2,736.6094017094017,26.610879629629625,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-23,719.3729919433594,489.3785294873184,45.44636542996818,2018,2,795.8555555555556,26.318215811965814,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-24,720.2070007324219,489.3785294873184,45.44636542996818,2018,2,623.9854700854701,26.03874643874644,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-25,798.7529846191406,489.3964581443012,45.45331584742763,2018,2,802.0273504273504,26.09711538461539,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-26,826.8949768066407,489.4726549364782,45.48285512163029,2018,2,795.3555555555556,26.268767806267803,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-27,816.5800109863281,489.56596749133394,45.51934481329239,2018,2,843.4880341880341,26.326834045584036,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-28,854.6849731445312,489.6331999550195,45.54540887876532,2018,2,651.3717948717949,26.1113782051282,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-29,813.4239868164062,489.7346283096846,45.566260131143665,2018,2,849.8452991452992,26.246207264957274,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-30,741.027001953125,489.7391104739303,45.56799773550853,2018,2,859.1076923076923,26.121171652421655,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-01,760.0839965820312,489.7391104739303,45.56799773550853,2018,3,724.6623931623932,26.16269586894587,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-02,848.9390014648437,489.8422002515815,45.60796263590036,2018,3,868.3752136752137,26.35439814814815,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-03,849.3100036621094,489.95016078541397,45.632289097008425,2018,3,652.7880341880342,26.225356125356125,3,-0.5010266940450947,0,0.0,2018,2017-20
